#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-25T18:20:19 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-25T18:20:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/476/875/tablea1&-out=GASS,SDSS,zSDSS,logM*,R50z,R50r,R90r,logSuBr,extr,rmag,(b/a)r,incl,NUV-r,SFR&-out.max=5000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74760875
#Name: J/MNRAS/476/875
#Title: xGASS catalog (Catinella+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/476/875	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/476/875	    IVOID of underlying data collection
#INFO	creator=Catinella B.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.476..875C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/476/875	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74760875	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_476_875_tablea1:
#Name: J/MNRAS/476/875/tablea1
#Title: SDSS and UV parameters of GASS-low galaxies
#Column	GASS	(I6)	GASS identifier	[ucd=meta.id;meta.main]
#Column	SDSS	(A19)	SDSS identifier	[ucd=meta.id]
#Column	zSDSS	(F7.4)	SDSS redshift	[ucd=src.redshift;pos.heliocentric]
#Column	logM*	(F5.2)	log10 Stellar mass	[ucd=phys.mass]
#Column	R50z	(F5.2)	Radius containing 50 per cent of the Petrosian flux in z band	[ucd=phys.angSize;src]
#Column	R50r	(F5.2)	Radius containing 50 per cent of the Petrosian flux in r band	[ucd=phys.angSize;src]
#Column	R90r	(F5.2)	Radius containing 90 per cent of the Petrosian flux in r band	[ucd=phys.angSize;src]
#Column	logSuBr	(F5.2)	log10 stellar mass surface density	[ucd=phys.density]
#Column	extr	(F5.2)	Galactic extinction in r band from SDSS	[ucd=phys.absorption]
#Column	rmag	(F5.2)	r-band model magnitude from SDSS, corrected for Galactic extinction	[ucd=phot.mag;em.opt.R]
#Column	(b/a)r	(F6.3)	Minor-to-major axial ratio from the exponential fit in r band, from SDSS	[ucd=phys.angSize;arith.ratio]
#Column	incl	(I2)	Inclination to the line of sight	[ucd=src.orbital.inclination;spect.line]
#Column	NUV-r	(F5.2)	? NUV-r observed colour, corrected for Galactic extinction	[ucd=phot.color;em.UV;em.opt]
#Column	SFR	(F6.3)	? Star formation rate from NUV and WISE photometry	[ucd=phys.SFR]
GASS	SDSS	zSDSS	logM*	R50z	R50r	R90r	logSuBr	extr	rmag	(b/a)r	incl	NUV-r	SFR
108143	J080038.05+133923.0	 0.0158	 9.13	 5.65	 6.08	13.15	 7.81	 0.09	15.77	 0.529	60	 2.77	 0.122
108136	J080048.38+100500.9	 0.0137	 9.48	 4.18	 4.40	11.26	 8.54	 0.06	15.54	 0.359	72	 3.98	 0.110
108111	J080116.61+091553.3	 0.0155	 9.95	 3.50	 3.57	 9.56	 9.07	 0.06	14.58	 0.292	77	 5.25	
108080	J080134.48+091817.4	 0.0153	 9.31	 4.31	 4.86	11.13	 8.26	 0.06	15.96	 0.790	39	 3.96	 0.022
108065	J080158.49+150331.5	 0.0161	10.10	 7.31	 8.80	22.07	 8.54	 0.09	14.04	 0.619	53	 3.99	 0.271
108145	J080206.54+092238.3	 0.0138	 9.16	 4.36	 4.85	11.20	 8.18	 0.06	16.15	 0.400	69	 3.48	 0.074
108022	J080210.94+092141.8	 0.0160	10.05	 3.46	 3.64	10.17	 9.14	 0.06	14.63	 0.780	40	 5.65	
108052	J080212.07+103234.1	 0.0145	 9.60	 4.05	 4.22	11.19	 8.65	 0.06	15.22	 0.783	40	 4.37	 0.093
108078	J080221.93+100906.6	 0.0152	 9.01	 2.88	 3.01	 7.47	 8.31	 0.06	16.44	 0.462	65	 3.64	 0.022
108013	J080237.85+093000.3	 0.0159	10.09	 3.02	 3.15	 9.90	 9.31	 0.06	14.38	 0.626	53	 5.24	 0.020
108116	J080327.64+094235.8	 0.0145	 9.37	 5.24	 5.22	11.87	 8.19	 0.06	15.37	 0.638	52	 3.25	 0.164
108011	J080706.39+075258.4	 0.0155	 9.04	 1.49	 1.49	 4.42	 8.90	 0.07	15.89	 0.737	44	 2.38	 0.216
108014	J081006.06+245519.5	 0.0140	10.09	 5.27	 5.95	16.85	 8.93	 0.13	13.78	 0.628	53	 4.11	 1.106
108019	J081012.17+224620.2	 0.0156	 9.37	 4.62	 4.73	10.14	 8.24	 0.12	15.85	 0.528	60	 4.38	 0.233
108049	J081104.76+061754.9	 0.0145	 9.41	 6.07	 6.71	12.42	 8.11	 0.08	14.82	 0.859	32	 2.35	 0.250
108029	J081115.92+251045.7	 0.0137	 9.62	 5.48	 6.45	16.83	 8.44	 0.12	14.04	 0.677	49	 2.04	 0.949
108129	J081214.82+350925.3	 0.0175	 9.47	 4.08	 4.32	11.68	 8.35	 0.14	14.97	 0.438	67	 2.78	 0.380
108147	J081523.40+284407.2	 0.0197	 9.64	 8.60	 9.48	17.22	 7.77	 0.09	14.68	 0.775	40	 2.18	 0.616
108044	J081702.26+153746.3	 0.0190	 9.04	 1.89	 1.98	 5.05	 8.51	 0.11	17.06	 0.285	78	 2.87	 0.065
108113	J081825.77+295734.4	 0.0199	 9.88	 5.06	 5.32	10.85	 8.46	 0.11	14.99	 0.860	31	 2.74	 0.601
108142	J081915.85+191847.6	 0.0190	 9.61	 6.17	 6.66	12.98	 8.06	 0.14	14.69	 0.672	49	 2.03	 0.886
108114	J081924.28+210012.8	 0.0130	 9.67	 5.21	 6.54	17.62	 8.59	 0.14	14.93	 0.464	65	     	 0.001
108058	J082126.80+242711.1	 0.0198	10.12	 3.87	 4.21	13.23	 8.94	 0.09	14.65	 0.621	53	 4.41	 0.337
108097	J082201.90+042333.2	 0.0142	 9.34	 4.95	 5.15	10.86	 8.23	 0.07	15.37	 0.850	33	 3.66	 0.055
108055	J082203.60+084509.3	 0.0138	10.04	 4.88	 5.23	13.68	 8.96	 0.08	14.15	 0.962	16	 5.90	 0.010
108053	J082213.57+041151.7	 0.0129	 9.46	 3.21	 3.30	 9.57	 8.81	 0.06	15.25	 0.409	69	 5.82	 0.004
108006	J082225.92+040947.7	 0.0149	 9.30	 2.48	 2.74	 7.88	 8.74	 0.07	15.91	 0.960	17	 5.04	 0.023
108024	J082404.23+210042.7	 0.0155	 9.45	 3.01	 3.00	 8.56	 8.70	 0.11	15.60	 0.537	59	 5.52	 0.018
108061	J082425.83+041451.6	 0.0136	10.17	 4.39	 4.74	15.01	 9.20	 0.07	13.73	 0.424	68	 5.25	 0.032
108101	J082701.39+214224.4	 0.0153	 9.99	 3.11	 3.10	 8.84	 9.22	 0.13	13.77	 0.326	75	 4.27	 0.123
108093	J083530.18+234034.3	 0.0168	 9.94	 4.75	 4.96	11.49	 8.72	 0.11	14.63	 0.380	71	 3.41	 0.674
108140	J083941.65+274332.2	 0.0185	 9.01	 3.83	 4.31	 9.85	 7.90	 0.12	16.34	 0.235	83	 2.69	 0.069
108021	J085518.73+272046.1	 0.0173	 9.64	 3.04	 3.36	 7.62	 8.78	 0.10	14.97	 0.867	31	 2.53	 0.505
108051	J085603.98+132519.2	 0.0140	 9.11	 5.06	 5.11	13.97	 8.00	 0.09	15.14	 0.821	36	 3.52	 0.060
108017	J085651.34+271612.3	 0.0186	 9.91	 3.10	 3.16	 9.01	 8.98	 0.09	14.98	 0.538	59	 4.19	 0.056
109129	J090130.48+123943.6	 0.0193	 9.23	 4.19	 4.46	11.78	 8.00	 0.10	16.00	 0.200	90	 2.51	 0.275
109038	J090316.50+181539.8	 0.0116	 9.21	 3.60	 3.76	10.07	 8.55	 0.08	14.75	 0.408	69	 1.88	 0.739
109101	J090404.86+220341.6	 0.0104	 9.01	 7.01	 8.00	16.30	 7.86	 0.09	14.69	 0.577	57	 2.02	 0.138
109022	J090439.32+181526.5	 0.0121	 9.81	 2.38	 2.48	 8.15	 9.47	 0.08	14.50	 0.719	45	 5.35	 0.006
109014	J090518.34+182631.9	 0.0140	 9.87	 4.13	 4.37	11.66	 8.93	 0.09	14.43	 0.481	64	 5.61	 0.009
109083	J090805.39+083038.4	 0.0182	 9.81	 2.95	 3.32	 7.49	 8.94	 0.15	15.40	 0.398	69	 3.74	 0.500
109066	J090923.67+223050.1	 0.0149	 9.99	 3.07	 3.20	 9.09	 9.25	 0.16	14.63	 0.383	71	 4.05	 0.276
109009	J090952.13+094737.0	 0.0183	 9.38	 1.87	 1.88	 5.01	 8.89	 0.17	15.71	 0.578	56	 2.39	 0.194
109060	J091105.57+092058.4	 0.0122	 9.64	 2.16	 2.27	 6.86	 9.38	 0.20	14.86	 0.888	28	 5.23	 0.014
109134	J091313.69+114616.7	 0.0167	 9.43	 2.50	 2.64	 7.13	 8.77	 0.08	16.52	 0.461	65	 3.76	 0.226
109021	J091657.98+064254.3	 0.0186	 9.54	 2.22	 2.36	 6.82	 8.90	 0.10	15.79	 0.612	54	 5.09	 0.040
109036	J091840.62+134946.1	 0.0116	10.11	 7.02	 7.99	20.80	 8.87	 0.09	13.43	 0.531	60	     	 0.452
109057	J092015.61+011719.7	 0.0175	 9.92	 4.52	 4.83	14.74	 8.71	 0.08	14.93	 0.763	41	 5.80	 0.036
109099	J092033.28+004315.7	 0.0172	 9.02	 5.32	 6.69	11.75	 7.68	 0.09	16.40	 0.991	 8	 3.14	 0.033
109102	J092115.45+030903.9	 0.0117	 9.38	 6.32	 8.01	20.80	 8.22	 0.14	14.47	 0.300	77	 2.09	 0.380
109020	J092414.56+110638.1	 0.0114	 9.54	 7.97	 9.83	21.40	 8.20	 0.09	14.46	 0.445	66	 3.45	 0.115
109045	J092515.42+105312.2	 0.0120	 9.86	 7.53	 7.77	17.14	 8.53	 0.09	14.33	 0.350	73	 4.23	 0.115
109031	J092515.88+113548.7	 0.0118	 9.23	 4.91	 5.03	13.37	 8.28	 0.10	15.64	 0.510	61	 5.14	 0.004
109064	J092548.49+112715.2	 0.0108	 9.46	 5.61	 6.28	14.72	 8.47	 0.09	14.93	 0.458	65	 5.19	 0.003
109126	J093459.07+254932.4	 0.0132	 9.14	 4.53	 4.46	10.37	 8.17	 0.06	15.16	 0.737	44	 2.46	 0.163
109005	J093505.80+093857.2	 0.0114	 9.61	 3.05	 3.25	10.30	 9.11	 0.09	14.56	 0.885	28	 5.29	 0.008
109103	J093640.73+024212.7	 0.0189	 9.45	 4.01	 4.26	 9.72	 8.28	 0.10	16.15	 0.224	84	 3.74	 0.136
109097	J093834.45+085316.4	 0.0108	 9.95	 4.75	 5.24	13.86	 9.11	 0.11	13.85	 0.286	78	 5.48	 0.027
109072	J094031.83+285809.5	 0.0189	 9.68	 3.46	 5.79	18.05	 8.63	 0.06	14.87	 0.364	72	 2.16	 0.578
109108	J094419.42+095905.2	 0.0102	 9.62	 2.80	 3.36	 7.86	 9.28	 0.08	15.26	 0.593	55	 4.57	 0.077
109075	J094834.50+145356.7	 0.0195	 9.77	 3.63	 3.95	10.80	 8.66	 0.10	15.27	 0.839	34	 5.56	 0.036
109077	J095118.36+090821.2	 0.0178	 9.50	 5.45	 5.73	11.81	 8.12	 0.09	15.54	 0.399	69	 3.00	 0.106
109120	J095127.77+071549.3	 0.0131	 9.12	 4.16	 4.58	 9.35	 8.23	 0.13	15.33	 0.382	71	 2.54	 0.104
109058	J095203.80+193904.0	 0.0161	 9.91	 6.59	 6.75	16.40	 8.44	 0.08	14.46	 0.295	77	 3.14	 0.440
109106	J095351.48+133654.3	 0.0163	 9.65	 7.36	 7.76	17.44	 8.08	 0.09	14.56	 0.491	63	 2.63	 0.484
109094	J095546.29+032417.2	 0.0171	 9.26	 6.58	 6.93	14.17	 7.74	 0.06	15.23	 0.556	58	 2.22	 0.257
109079	J095700.35+153320.3	 0.0145	 9.21	 1.89	 1.84	 5.08	 8.92	 0.09	15.53	 0.773	40	 2.74	 0.187
109035	J095824.07+102146.2	 0.0180	10.09	 3.61	 3.70	10.93	 9.05	 0.11	14.58	 0.574	57	 5.80	 0.013
109034	J095828.36+111809.2	 0.0178	 9.22	 1.79	 1.92	 5.58	 8.80	 0.09	16.50	 0.873	30	 4.58	 0.033
109135	J095830.55+101058.7	 0.0174	 9.13	 7.52	 7.57	14.84	 7.48	 0.10	16.00	 0.697	47	 2.77	 0.065
109132	J095859.58+102244.0	 0.0184	 9.02	 4.30	 3.69	 9.93	 7.81	 0.12	16.82	 0.330	74	 4.34	 0.071
110010	J100103.36+043709.3	 0.0135	 9.66	 4.28	 4.30	11.99	 8.72	 0.06	14.55	 0.767	41	 5.06	 0.075
110038	J100216.28+191256.3	 0.0166	10.00	 3.49	 3.89	11.80	 9.06	 0.08	14.60	 0.674	49	 3.38	 0.514
110013	J101712.71+131131.3	 0.0175	 9.71	 5.83	 6.40	13.17	 8.28	 0.12	14.80	 0.450	66	 2.77	 0.427
110058	J101819.17+131352.5	 0.0183	 9.05	 4.70	 5.39	12.36	 7.77	 0.13	15.80	 0.400	69	 2.18	 0.156
110080	J101837.31+031548.9	 0.0144	 9.20	 4.14	 4.85	12.08	 8.23	 0.10	15.60	 0.243	82	 2.33	 0.269
110047	J102003.66+253418.2	 0.0181	 9.27	 1.60	 1.71	 4.08	 8.93	 0.06	16.68	 0.426	67	 3.50	 0.053
110060	J102052.18+253354.9	 0.0199	10.15	 4.63	 5.25	12.80	 8.81	 0.06	15.05	 0.483	63	 5.51	 0.116
110056	J102154.57+112755.8	 0.0170	 9.01	 2.69	 2.64	 7.49	 8.28	 0.09	16.02	 0.481	64	 2.67	 0.088
110019	J102901.59+260912.6	 0.0173	 9.02	 2.38	 2.57	 6.49	 8.37	 0.07	16.24	 1.000	 1	 4.00	 0.129
110057	J102923.06+260413.6	 0.0166	 9.36	 5.57	 6.12	14.11	 8.02	 0.07	15.42	 0.321	75	 2.82	 0.253
110042	J103158.43+113622.8	 0.0190	10.06	 2.17	 2.23	 6.63	 9.42	 0.12	14.84	 0.428	67	 5.43	 0.042
110055	J103525.10+031739.9	 0.0189	 9.10	 4.34	 5.25	11.58	 7.86	 0.10	16.00	 0.451	66	 2.43	 0.100
110017	J103539.30+283356.9	 0.0147	 9.85	 5.25	 5.72	12.04	 8.66	 0.07	13.61	 0.888	28	 2.14	 1.376
110059	J103913.14+310650.4	 0.0189	 9.41	 6.90	10.39	19.11	 7.77	 0.04	15.36	 0.667	50	 2.19	 0.235
110054	J104402.46+221527.1	 0.0196	 9.75	 5.10	 5.21	11.75	 8.34	 0.06	14.88	 0.636	52	 3.46	 0.199
110007	J104649.35+180151.8	 0.0198	 9.40	 3.32	 3.30	 9.24	 8.36	 0.08	16.19	 0.356	73	 5.31	 0.005
111066	J111357.61+105218.2	 0.0198	 9.26	 3.20	 3.24	 8.83	 8.24	 0.04	16.32	 0.490	63	 3.81	 0.043
111053	J112139.74+112924.6	 0.0199	 9.29	 2.34	 2.33	 5.26	 8.54	 0.08	15.93	 0.971	14	 2.50	 0.205
111093	J112739.14+234528.5	 0.0197	 9.28	 6.84	 6.99	15.63	 7.61	 0.05	14.91	 0.495	63	 1.82	 0.547
111030	J113103.69+201408.2	 0.0140	10.09	 7.36	 7.94	17.72	 8.65	 0.06	14.08	 0.565	57	 3.61	 2.691
111086	J113914.72+145932.7	 0.0143	 9.64	 4.61	 4.73	12.31	 8.59	 0.11	15.02	 0.284	78	 3.79	 0.414
111080	J114011.68+171844.4	 0.0118	10.01	 7.20	 7.92	17.39	 8.74	 0.07	13.62	 0.556	58	 3.03	 0.620
111047	J114253.93+000942.6	 0.0185	 9.16	 3.19	 3.65	 8.26	 8.20	 0.08	15.51	 0.739	44	 1.42	 0.476
111036	J114313.27+200754.9	 0.0183	 9.42	 3.34	 3.72	 9.59	 8.44	 0.05	16.00	 0.561	58	 5.26	 0.033
111024	J114423.13+163304.5	 0.0129	 9.66	 3.58	 3.81	 9.72	 8.91	 0.09	14.64	 0.680	49	 5.10	 0.012
111088	J115417.76+325139.5	 0.0106	 9.31	 7.90	 8.44	20.20	 8.04	 0.07	14.79	 0.219	85	 2.64	 0.158
111004	J115751.37+275207.2	 0.0112	10.05	 4.44	 4.73	13.77	 9.24	 0.07	13.79	 0.616	54	 4.60	 0.202
111049	J115756.49+250405.8	 0.0138	 9.68	 2.85	 2.94	 9.10	 9.07	 0.06	14.95	 0.519	61	 5.25	 0.020
111063	J115825.43+250551.5	 0.0141	 9.61	 5.07	 5.54	14.78	 8.49	 0.07	15.05	 0.379	71	 4.84	 0.119
111028	J115949.61+305039.9	 0.0104	10.00	 4.86	 5.40	16.29	 9.18	 0.05	13.65	 0.838	34	 5.12	 0.038
112065	J120108.03+152353.6	 0.0172	 9.67	 2.91	 3.04	 7.72	 8.85	 0.11	15.21	 0.886	28	 5.49	 0.018
112106	J120336.94+023749.6	 0.0193	 9.33	 3.14	 4.44	11.96	 8.35	 0.07	16.48	 0.329	75	 3.81	 0.044
112068	J120409.73+014933.5	 0.0172	 9.67	 5.84	 7.51	19.90	 8.26	 0.07	14.52	 0.620	53	 3.31	 0.351
112014	J120432.18+022711.2	 0.0200	 9.58	 3.25	 3.30	 8.73	 8.55	 0.08	15.94	 0.288	78	 5.34	 0.049
112019	J121156.80+273835.5	 0.0133	10.16	 4.14	 4.39	12.91	 9.26	 0.06	13.85	 0.479	64	 5.70	 0.015
112100	J121830.09+041824.4	 0.0191	 9.14	 7.55	 7.25	14.06	 7.41	 0.05	15.73	 0.715	46	 2.08	 0.184
112112	J122540.14+203142.4	 0.0183	 9.92	 6.62	 7.92	18.47	 8.34	 0.09	15.06	 0.248	81	 3.76	 0.494
112051	J123822.14+014045.0	 0.0163	 9.71	 2.14	 2.19	 6.05	 9.20	 0.06	15.26	 0.587	56	 5.47	 0.014
112080	J124128.94+260518.9	 0.0164	 9.95	 5.28	 5.51	11.83	 8.66	 0.04	14.42	 0.826	35	 3.03	 0.491
112054	J124408.63+252458.1	 0.0174	 9.65	 1.75	 1.82	 5.27	 9.27	 0.03	15.49	 0.681	48	 5.13	 0.012
112001	J124523.92+090510.4	 0.0191	10.18	 3.00	 3.15	10.49	 9.25	 0.06	14.43	 0.418	68	 5.42	 0.023
112050	J124841.02+342839.3	 0.0142	 9.42	 3.49	 3.26	10.35	 8.61	 0.04	14.43	 0.769	41	 1.90	 1.126
112089	J125026.62+264407.2	 0.0194	 9.06	 2.72	 3.05	 8.24	 8.20	 0.03	17.03	 0.273	79	 4.77	 0.013
112016	J125321.68+262141.1	 0.0193	 9.51	 3.43	 3.66	10.77	 8.46	 0.03	15.84	 0.332	74	 4.86	 0.022
112116	J125606.10+274041.1	 0.0165	 9.12	 3.32	 3.23	 7.81	 8.23	 0.02	15.11	 0.615	54	 1.69	 1.254
112004	J125747.86+274610.0	 0.0193	 9.36	 2.62	 2.71	 7.37	 8.54	 0.03	16.38	 0.594	55	 5.19	 0.006
112003	J125754.36+272926.3	 0.0166	 9.81	 7.19	 7.63	14.52	 8.24	 0.03	14.98	 0.492	63	 4.82	 0.661
112002	J125756.51+272256.2	 0.0174	 9.11	 3.46	 3.51	 8.56	 8.13	 0.03	16.73	 0.983	11	 4.64	 0.055
112017	J125801.71+275112.8	 0.0190	 9.52	 2.76	 2.95	 8.90	 8.67	 0.03	16.03	 0.736	44	 4.92	 0.006
112012	J125807.54+261936.6	 0.0190	 9.81	 3.59	 3.91	10.65	 8.73	 0.02	15.42	 0.562	58	 5.41	 0.010
112006	J125826.93+293644.9	 0.0195	10.04	 5.41	 5.74	14.49	 8.59	 0.03	14.61	 0.615	54	 5.36	 0.022
112060	J125838.41+273238.7	 0.0199	 9.95	 2.56	 2.58	 7.22	 9.13	 0.03	15.23	 0.630	53	 5.46	 0.018
112035	J125905.29+273839.9	 0.0181	 9.67	 5.30	 6.03	16.77	 8.29	 0.03	14.34	 0.824	35	 2.63	 0.761
112084	J125910.30+273711.5	 0.0191	 9.93	 2.37	 2.46	 7.47	 9.20	 0.03	15.19	 0.839	34	 5.39	 0.024
112011	J125937.48+280958.0	 0.0191	 9.44	 2.49	 2.67	 7.98	 8.67	 0.03	16.18	 0.671	49	 5.06	 0.007
113040	J130009.14+275159.3	 0.0177	 9.32	 3.00	 2.98	 7.40	 8.46	 0.03	15.44	 0.717	45	 2.75	 0.899
113032	J130010.41+273542.0	 0.0187	 9.56	 3.36	 3.60	 8.69	 8.55	 0.03	15.90	 0.709	46	 5.99	 0.004
113012	J130016.51+275803.0	 0.0155	 9.80	 2.96	 3.25	10.37	 9.06	 0.03	14.87	 0.493	63	 4.51	 0.016
113060	J130018.57+274855.9	 0.0179	 9.43	 4.17	 4.59	11.54	 8.27	 0.02	16.11	 0.836	34	 5.71	 0.003
